,MLSNumber,Street,City,Price,BR,Bath,Footage,PricePerSqft,Zipcode
319,1071709,656 Mi Tierra,Santa Maria,465000,3,3,2178.0,213.4986225895317,93455
320,1071710,1160 Kit,Santa Maria,425000,3,2,1500.0,283.3333333333333,93455
321,1069663,1164 Pacific Pointe,Arroyo Grande,449000,3,2,1326.0,338.6123680241327,93420
322,1071712,3444 Flower,Santa Maria,359900,3,2,1666.0,216.0264105642257,93455
323,1071713,42875 Carmel Valley,Greenfield,1300000,3,3,2700.0,481.48148148148147,93927
324,1065570,9510 Los Palos,Atascadero,775000,3,3,3512.0,220.67198177676536,93422
325,1071715,430 Arcadia,Morro Bay,889000,3,2,1900.0,467.89473684210526,93442
326,1071716,374 Mitchell,Los Osos,1200000,2,1,744.0,1612.9032258064517,93402
327,1071718,5116 Pembrook,Cambria,625000,2,2,1203.0,519.5344970906068,93428
328,1071889,726 Arthur,Santa Maria,429000,3,2,1944.0,220.679012345679,93455
329,1071720,2047 Mariah,Santa Maria,414900,4,3,2003.0,207.1392910634049,93454
330,1071721,233 Gardengate,Lompoc,515500,3,3,2327.0,221.52986678126342,93436
331,1071722,263 Luneta,San Luis Obispo,749000,4,3,1824.0,410.6359649122807,93405
332,1071723,4020 Sagan,Lompoc,520000,4,4,2631.0,197.6434815659445,93436
333,1071724,5424 Via Ranchitos,Atascadero,449900,3,2,1383.0,325.30730296456977,93422
334,1071725,3580 Sunburst,Paso Robles,529000,4,2,1759.0,300.7390562819784,93446
335,1071726,5415 Regio,Atascadero,419900,3,2,1180.0,355.8474576271187,93422
336,1071727,637 Grande,Nipomo,569000,3,2,1600.0,355.625,93444
337,1067632,1671 Southfork,Paso Robles,485000,4,3,2307.0,210.22973558734287,93446
338,1071729,2340 Timsbury,Santa Maria,374900,3,3,2175.0,172.367816091954,93455
339,1071731,365 Placentia,Pismo Beach,1625000,3,2,1790.0,907.8212290502794,93449
340,1071732,1830 Tularosa,Lompoc,1029900,3,3,2711.0,379.89671707856877,93436
342,1071734,1889 Silva,Santa Maria,459891,3,3,1855.0,247.91967654986522,93454
343,1071735,1869 Silva,Santa Maria,467662,3,2,1734.0,269.7012687427912,93454
344,1067640,279 Lawrence,San Luis Obispo,995000,3,3,2547.0,390.6556733411857,93401
345,1072916,426 Cambridge,Cambria,949000,3,3,2537.0,374.06385494678756,93428
346,1071738,118 Riverside,Santa Maria,275000,3,2,1245.0,220.8835341365462,93458
347,1067643,1490 Dove Meadow,Solvang,2750000,6,7,7386.0,372.32602220417004,93463
348,1071740,680 Meadow Oak,Arroyo Grande,1799000,5,5,3972.0,452.920443101712,93420
349,1068138,5400 San Anselmo,Atascadero,399000,3,2,1197.0,333.3333333333333,93422
350,1071742,279 Pinecrest,Nipomo,449000,3,2,1654.0,271.46311970979446,93444
351,1071743,341 Stimson,Pismo Beach,899000,2,3,1703.0,527.8919553728714,93449
352,1071744,3121 Sandalwood,Morro Bay,599000,2,2,1116.0,536.7383512544803,93442
353,1071745,4675 Creekside,Paso Robles,265000,2,3,1321.0,200.60560181680546,93446
354,1071746,505 Ferrocarril,Atascadero,184900,1,1,480.0,385.2083333333333,93422
355,1071747,2619 Rubel,Santa Maria,395000,3,2,1828.0,216.0831509846827,93455
356,1065604,610 Sheehy,Nipomo,925000,4,1,1978.0,467.64408493427703,93444
357,1071749,1432 Florette,Santa Maria,609900,4,3,2911.0,209.51563036757128,93455
358,1069702,76960 Barker,San Miguel,599900,3,3,2623.0,228.70758673274875,93451
359,1071553,5225 Ensenada,Atascadero,474900,4,2,1698.0,279.68197879858656,93422
360,1071752,331 Oak Hill,Paso Robles,395900,3,3,1500.0,263.93333333333334,93446
361,1071753,519 Taylor,Santa Maria,59900,2,2,1344.0,44.56845238095238,93458
362,1071754,309 Concord,Santa Maria,249900,2,3,1656.0,150.90579710144928,93454
363,1069847,4720 Lamplighter,Paso Robles,933000,5,3,3595.0,259.5271210013908,93446
364,1067662,3535 Blackhawk,Templeton,1335000,6,5,5542.0,240.88776614940454,93465
365,1071761,1235 Sage,Arroyo Grande,439900,2,1,992.0,443.4475806451613,93420
366,1069715,441 Ocean View,Pismo Beach,485000,3,3,1122.0,432.2638146167558,93449
367,1071764,4362 Wavertree,San Luis Obispo,749000,3,3,1827.0,409.9616858237548,93401
368,1071766,3780 Highway 41,Templeton,525000,3,2,2268.0,231.4814814814815,93465
369,1071767,4002 Berwyn,Santa Maria,94900,2,2,1440.0,65.90277777777777,93455
370,1071768,7478 Santa Ysabel,Atascadero,205000,2,1,858.0,238.92773892773891,93422
371,1071556,2861 Burton,Cambria,499000,3,2,1688.0,295.61611374407585,93428
372,1071770,10770 Santa Ana,Atascadero,839000,3,4,2700.0,310.74074074074076,93422
373,1071772,550 Villa Lots,Paso Robles,729000,4,2,2043.0,356.82819383259914,93446
374,1069728,940 Wadsworth,Pismo Beach,849900,3,2,2012.0,422.4155069582505,93449
375,1068144,1408 Michael,Lompoc,349900,3,3,1612.0,217.05955334987593,93436
376,1072923,71 Valley View,Pismo Beach,840000,3,3,1997.0,420.6309464196294,93449
377,1071780,9144 Arbol Del Rosal,Atascadero,339000,2,3,1468.0,230.92643051771117,93422
378,1071781,2001 Cathedral Canyon,Paso Robles,475000,3,2,1938.0,245.09803921568627,93446
379,1071784,727 Ramona,Grover Beach,325000,2,1,784.0,414.5408163265306,93433
380,1071785,325 Worcester,Cambria,1488000,3,2,1397.0,1065.1395848246243,93428
381,1071786,213 Knights,Santa Maria,185500,2,2,1206.0,153.81426202321725,93454
382,1065415,2726 Grand,Los Olivos,749000,2,2,2032.0,368.6023622047244,93441
383,1071788,2270 Callender,Arroyo Grande,875000,4,3,3080.0,284.09090909090907,93420
384,1071789,411 Foothill,San Luis Obispo,289500,1,1,600.0,482.5,93405
385,1071790,341 Stimson,Pismo Beach,895000,2,3,1671.0,535.607420706164,93449
386,1071791,341 Stimson,Pismo Beach,895000,2,3,1671.0,535.607420706164,93449
387,1071792,341 Stimson,Pismo Beach,899000,3,3,1727.0,520.5558772437753,93449
388,1071794,4383 Harmony,Santa Maria,389000,3,2,1307.0,297.62815608263196,93455
389,1071795,236 San Fernando,Paso Robles,359000,3,2,1415.0,253.71024734982333,93446
390,1071796,1401 Christina,Santa Maria,315000,3,2,1250.0,252.0,93454
391,1071797,34001 Road 140,Visalia,979000,3,4,3500.0,279.7142857142857,93292
392,1071798,644 Patricia,San Luis Obispo,864000,4,3,2111.0,409.28469919469444,93405
393,1067703,1790 Waterview,Nipomo,699999,2,2,2017.0,347.04957858205256,93444
394,1071800,3335 Via Arnez,Lompoc,300000,3,2,1247.0,240.57738572574178,93436
395,1069753,8225 Nacimiento Lake,Paso Robles,1199900,4,4,3477.0,345.09634742594193,93446
396,1071802,539 De Armond,Santa Maria,314900,3,2,1203.0,261.76226101413135,93454
397,1071803,210 Cranberry,Arroyo Grande,449900,2,2,1254.0,358.7719298245614,93420
398,1071804,713 Cornwall,Arroyo Grande,469000,2,2,1152.0,407.11805555555554,93420
399,1059274,9986 Flyrod,Paso Robles,536900,3,2,2446.0,219.5012264922322,93446
400,1071806,Address Not Available,Atascadero,265000,2,2,1066.0,248.59287054409006,93422
401,1070197,442 Oahu,Morro Bay,699900,3,3,1832.0,382.0414847161572,93442
402,1071809,1675 Los Osos Valley,Los Osos,139000,2,2,1056.0,131.62878787878788,93402
403,1071810,200 Surf,Pismo Beach,699000,3,2,1565.0,446.64536741214056,93449
404,1071811,1310 Coloma,Nipomo,1100000,4,4,3563.0,308.7285994948077,93444
405,1071812,3259 Ocean,Cayucos,849000,2,3,1544.0,549.8704663212435,93430
406,1071814,1613 Gathe,San Luis Obispo,217000,2,2,1560.0,139.10256410256412,93405
407,1069767,515 Avenida Montecito Verde,Nipomo,364990,3,2,1068.0,341.750936329588,93444
408,1069768,3121 Calle Noguera,Santa Barbara,999900,2,1,980.0,1020.3061224489796,93105
409,1071817,2360 Greenwood,Morro Bay,525000,2,1,958.0,548.0167014613779,93442
410,1061578,1195 Loose Horse,Paso Robles,1225000,4,4,3000.0,408.3333333333333,93446
411,1071819,727 Manhattan,Grover Beach,429000,3,3,1161.0,369.5090439276486,93433
412,1071820,245 Granite,Templeton,565000,3,3,2099.0,269.1757979990472,93465
413,1071821,357 7th,Grover Beach,429000,3,3,1161.0,369.5090439276486,93433
414,1071822,534 Poppy,Santa Maria,379000,3,2,1847.0,205.19761775852734,93455
415,1067727,697 Avocet,Arroyo Grande,898900,4,3,3167.0,283.83328070729397,93420
416,1071825,525 Grande,Nipomo,239000,2,2,840.0,284.5238095238095,93444
417,1071826,3290 Ridge View,Santa Maria,149999,2,2,1668.0,89.92745803357315,93455
418,1071831,1280 Lassen,Nipomo,689000,3,3,2046.0,336.7546432062561,93444
419,1071832,288 Camp,Guadalupe,145000,2,2,912.0,158.99122807017545,93434
420,1071833,7485 Sombrilla,Atascadero,337500,2,1,770.0,438.31168831168833,93422
421,1071834,154 Silver Shoals,Pismo Beach,2595000,3,3,2512.0,1033.0414012738854,93449
422,1071835,579 Victorian,Arroyo Grande,549000,3,3,1705.0,321.9941348973607,93420
423,1071836,475 Via Las Aguilas,Arroyo Grande,964950,3,3,2325.0,415.03225806451616,93420
424,1071837,1567 8th,Los Osos,439500,2,1,890.0,493.82022471910113,93402
425,1069861,150 Branch,Pismo Beach,275000,2,2,915.0,300.5464480874317,93420
426,1071840,1764 8th,Los Osos,685000,3,2,2352.0,291.24149659863946,93402
427,1071842,765 Mesa View,Arroyo Grande,160000,3,2,1350.0,118.51851851851852,93420
428,1071843,412 Navajo,Paso Robles,439000,3,2,1448.0,303.1767955801105,93446
429,1071844,76945 Indian Valley,San Miguel,1775000,4,3,3507.0,506.13059595095524,93451
430,1071845,5710 Olmeda,Atascadero,449999,3,1,1316.0,341.94452887537994,93422
431,1071846,4664 Mananita,Atascadero,389000,3,2,1327.0,293.1424265259985,93422
432,1071848,661 La Vista,Arroyo Grande,399000,3,1,1005.0,397.0149253731343,93420
433,1071849,333 Linda,Santa Barbara,925000,3,2,1010.0,915.8415841584158,93109
434,1071850,964 Tarragon,San Luis Obispo,424900,2,3,1417.0,299.8588567395907,93401
435,1071851,8624 Paseo De Vaca,Atascadero,529000,3,3,2081.0,254.2047092743873,93422
436,1071853,3570 Lakeside Village,Paso Robles,459000,4,3,2552.0,179.858934169279,93446
437,1064013,4571 Windward,Paso Robles,179900,2,2,1152.0,156.16319444444446,93446
438,1071856,1315 Newport,Grover Beach,349000,2,1,912.0,382.67543859649123,93433
439,1071857,3960 Higuera,San Luis Obispo,99500,2,1,788.0,126.26903553299492,93401
440,1069810,871 Ocean,Cayucos,3000000,2,2,1682.0,1783.59096313912,93430
441,1047284,2073 Fixlini,San Luis Obispo,1150911,4,3,2628.0,437.9417808219178,93401
442,1071861,1795 Pacific,Cayucos,990000,2,1,1037.0,954.6769527483125,93430
443,1071583,2849 Starfire,Santa Maria,414900,3,2,1753.0,236.67997718197375,93455
444,1071863,873 Tanis,Nipomo,495950,3,2,1774.0,279.56595264937994,93444
445,1072947,408 Sword,Santa Maria,519000,4,3,2654.0,195.55388093443858,93454
446,1071867,696 January,Nipomo,525000,3,2,1803.0,291.18136439267886,93444
447,1071869,600 Coleman,Lompoc,424500,3,2,1896.0,223.89240506329114,93436
448,1071870,2575 Elm,Morro Bay,699000,3,3,1737.0,402.41796200345425,93442
449,1071871,501 Harding,Santa Maria,339000,3,2,1238.0,273.8287560581583,93454
450,1071872,2397 Alban,Cambria,529900,3,3,1543.0,343.42190537913154,93428
451,1071873,226 Kendal,Cambria,1549000,3,3,2307.0,671.4347637624621,93428
452,1071874,515 Oak Park,Arroyo Grande,525000,3,3,1360.0,386.02941176470586,93420
453,1071875,1679 Trilogy,Nipomo,1050000,2,3,2071.0,507.00144857556734,93444
454,1071877,514 Sunset,Santa Maria,272000,3,2,1050.0,259.04761904761904,93458
455,1071878,700 Saint Mary,Cayucos,895000,4,3,1704.0,525.2347417840375,93430
456,1073060,46 Cypress Glen,Cayucos,925000,3,3,2018.0,458.37462834489594,93430
457,1071880,1675 Los Osos Valley,Los Osos,200000,2,2,1440.0,138.88888888888889,93402
458,1071881,3655 Constellation,Lompoc,208000,2,3,1126.0,184.7246891651865,93436
459,1071882,753 Rain Tree,Santa Maria,499900,4,2,1950.0,256.35897435897436,93455
460,1071883,259 Burton Mesa,Lompoc,180000,3,2,1100.0,163.63636363636363,93436
461,1071884,68 Stanford,Lompoc,340000,2,2,1789.0,190.05030743432084,93436
462,1071886,2325 Cordoban,Santa Maria,349900,3,3,1683.0,207.90255496137848,93455
463,1071887,4156 Oakwood,Lompoc,315000,2,2,1629.0,193.37016574585635,93436
464,1071888,1287 Stubblefield,Santa Maria,398000,4,2,1989.0,200.1005530417295,93455
465,1069841,880 Amethyst,Santa Maria,599900,4,3,2567.0,233.6969224776003,93455
466,1071891,1133 Linda,Paso Robles,415000,3,2,1344.0,308.7797619047619,93446
467,1071892,1331 4th,Los Osos,295000,2,1,988.0,298.582995951417,93402
468,1071894,166 Kent,Nipomo,369000,3,2,1160.0,318.1034482758621,93444
469,1071895,1308 Jason,Lompoc,389000,4,3,1973.0,197.1616827166751,93436
470,1071896,9156 Santa Barbara,Atascadero,609000,3,2,2004.0,303.8922155688623,93422
471,1071897,5690 Farousse,Paso Robles,374900,3,2,1408.0,266.26420454545456,93446
472,1071898,1585 Fire Rock,Templeton,1395000,4,5,4361.0,319.88076129328135,93465
473,1071901,50920 Pine Canyon,King City,537500,4,2,2254.0,238.46495119787045,93930
474,1071903,723 Voyager,Lompoc,449900,4,3,1800.0,249.94444444444446,93436
475,1071905,2545 Lupine Canyon,Avila Beach,1050000,3,3,2208.0,475.54347826086956,93424
476,1071906,581 Pine,Solvang,619000,3,1,1399.0,442.45889921372407,93463
477,1071907,412 Calle Alto,Paso Robles,790000,4,3,3000.0,263.3333333333333,93446
478,1071908,536 San Antonio,Santa Maria,459900,4,2,1713.0,268.47635726795096,93455
479,1071909,201 Nacimeinto Lake,Paso Robles,437500,3,2,1768.0,247.4547511312217,93446
480,1071910,3478 Via Barba,Lompoc,290000,3,2,1741.0,166.5709362435382,93436
481,1071912,370 Scott,Paso Robles,379900,4,2,1296.0,293.13271604938274,93446
482,1071913,4070 Jardine,Paso Robles,499900,3,2,1350.0,370.2962962962963,93446
483,1071916,3173 Fairlea,Santa Ynez,1100000,3,3,3132.0,351.213282247765,93460
484,1071917,1208 Grassy Hollow,Paso Robles,498000,3,2,1921.0,259.2399791775117,93446
485,1073017,1213 Timothy,Lompoc,325000,3,3,1612.0,201.61290322580646,93436
486,1071920,638 Nickerson,Paso Robles,479900,3,2,1820.0,263.68131868131866,93446
487,1071923,9030 Curbaril,Atascadero,385000,3,2,1467.0,262.44035446489437,93422
488,1071924,122 Ramona,San Luis Obispo,579000,4,2,1315.0,440.3041825095057,93405
489,1071926,3460 Catalina,Paso Robles,545000,3,2,2115.0,257.68321513002365,93446
490,1071927,7210 Shalerock,Paso Robles,489000,3,2,2029.0,241.0054213898472,93446
491,1071928,3154 Wood,Cambria,519000,3,2,1577.0,329.10589727330375,93428
492,1071929,20 Villa,San Luis Obispo,430000,2,2,1002.0,429.14171656686625,93401
493,1071930,73052 Monterey,Bradley,199900,3,2,1200.0,166.58333333333334,93426
494,1071931,1701 Thornburg,Santa Maria,39000,3,2,1440.0,27.083333333333332,93458
495,1071933,1637 Pine,Lompoc,314900,3,2,1010.0,311.7821782178218,93436
496,1071934,5750 Telephone,Santa Maria,399000,3,2,1584.0,251.8939393939394,93455
497,1071935,14455 Cunningham,Santa Margarita,175000,1,1,720.0,243.05555555555554,93453
498,1071936,4450 Deer Creek,Paso Robles,299800,3,2,1176.0,254.93197278911563,93446
499,1071937,733 Greystone,San Luis Obispo,1485000,5,5,3500.0,424.2857142857143,93401
500,1071938,3500 La Entrada,Santa Barbara,1550000,3,3,2378.0,651.8082422203532,93105
501,1071941,1740 Bayview,Santa Maria,369000,3,2,1582.0,233.24905183312262,93454
502,1069895,3623 Via Orilla,Lompoc,295500,4,2,1338.0,220.85201793721973,93436
503,1071944,12275 Alondra,Atascadero,749900,3,3,3252.0,230.59655596555965,93422
504,1071946,2475 Country,Santa Maria,220000,2,2,912.0,241.2280701754386,93455
505,1071947,1612 Huckleberry,San Luis Obispo,895000,4,2,2218.0,403.51668169522094,93401
506,1071948,1024 Colebrook,Santa Maria,299900,3,2,1558.0,192.4903722721438,93458
507,1071949,1244 Highland,Santa Ynez,1150000,5,3,2558.0,449.5699765441751,93460
508,1067854,1262 Mesa,Nipomo,799900,3,3,2482.0,322.2804190169218,93444
509,1071951,1206 East,Santa Maria,290000,3,1,1080.0,268.51851851851853,93454
510,1071952,3140 Box Canyon,Santa Ynez,2395000,4,4,3886.0,616.3149768399383,93460
511,1071953,350 Uranus,Nipomo,179900,2,2,1248.0,144.15064102564102,93444
512,1071954,2948 Alta,Los Olivos,969000,3,3,2526.0,383.6104513064133,93441
513,1071956,377 Sunrise,Arroyo Grande,305000,2,2,1497.0,203.74081496325985,93420
514,1071957,449 Terrace,Nipomo,729900,3,3,2141.0,340.91546006539,93444
515,1071959,1352 Cove,Oceano,389000,3,2,1258.0,309.2209856915739,93445
516,1071960,505 Saint Mary,Cayucos,1249000,4,4,3072.0,406.5755208333333,93430
517,1071961,7777 Del Rio,Atascadero,565000,3,3,1902.0,297.055730809674,93422
518,1071963,425 Alvin,Santa Maria,353000,3,3,1545.0,228.4789644012945,93454
519,1071965,801 Halcyon,Arroyo Grande,220000,3,2,1560.0,141.02564102564102,93420
520,1071966,160 Hercules,Lompoc,388000,3,2,1756.0,220.95671981776766,93436
521,1071967,5156 Hillcrest,Cambria,764500,2,2,1524.0,501.6404199475066,93428
522,1071968,1911 Rambouillet,Paso Robles,574900,4,2,2238.0,256.8811438784629,93446
523,1071969,348 Wellington,Cambria,919000,3,4,2260.0,406.6371681415929,93428
524,1071970,411 Woodbridge,San Luis Obispo,868000,3,3,2766.0,313.81055676066524,93401
525,1071972,3741 Les Maisons,Santa Maria,395000,3,2,1568.0,251.91326530612244,93455
526,1071973,416 Elm,Arroyo Grande,484900,3,3,1544.0,314.05440414507774,93420
527,1071974,225 Walnut,Arroyo Grande,579000,3,2,1512.0,382.93650793650795,93420
528,1071975,3260 El Rancho,Arroyo Grande,860000,3,2,2975.0,289.07563025210084,93420
529,1071976,860 Peregrine,Nipomo,459000,3,2,1656.0,277.17391304347825,93444
530,1071977,5596 Windsor,Cambria,999000,3,3,2434.0,410.4354971240756,93428
531,1067883,329 Bobwhite,Paso Robles,199500,2,2,1861.0,107.20042987641054,93446
532,1071981,150 Branch,Pismo Beach,275000,2,2,915.0,300.5464480874317,93420
533,1071982,5550 Sawgrass,Wasco,209500,4,2,1460.0,143.4931506849315,93280
534,1071983,5555 St Andrews,Wasco,204500,4,2,1460.0,140.06849315068493,93280
535,1069936,151 Avenida De Diamante,Arroyo Grande,953900,3,3,2482.0,384.3271555197421,93420
536,1071985,317 Primrose,Paso Robles,385000,3,2,1378.0,279.39042089985486,93446
537,1071987,1960 McClelland,Santa Maria,196000,2,2,1027.0,190.84712755598832,93454
538,1071988,1512 7th,Los Osos,499900,2,1,1056.0,473.3901515151515,93402
539,1069886,922 Highland,Los Osos,835000,4,3,2660.0,313.90977443609023,93402
540,1071991,1031 Farroll,Arroyo Grande,479000,3,2,1753.0,273.2458642327439,93420
541,1071993,17 Quail Ridge,Atascadero,285000,2,2,994.0,286.7203219315895,93422
542,1071994,3316 Rucker,Lompoc,299900,3,2,1412.0,212.39376770538243,93436
543,1071995,5995 Tecorida,Atascadero,275000,1,1,783.0,351.213282247765,93422
544,1071996,4286 Ridgecrest,Santa Maria,350000,3,2,1193.0,293.3780385582565,93455
545,1071997,1637 Summer Creek,Paso Robles,425500,3,2,1640.0,259.4512195121951,93446
546,1071999,1068 La Serenata,Nipomo,625000,1,2,1140.0,548.2456140350877,93444
547,1072001,4492 Falcon,Lompoc,485000,4,3,2436.0,199.0968801313629,93436
548,1072002,7220 Cortez,Atascadero,405000,3,2,1278.0,316.90140845070425,93422
549,1072003,430 K,Lompoc,260000,3,1,1237.0,210.18593371059015,93436
550,1072006,3041 Cielo Grande,Atascadero,649900,3,2,2338.0,277.97262617621897,93422
551,1072007,1500 Oakridge Park,Santa Maria,295000,2,2,1349.0,218.68050407709416,93455
552,1072008,610 Sunrise,Santa Maria,259900,3,2,1128.0,230.4078014184397,93455
553,1072009,1034 Hartley,Santa Maria,400000,3,3,1715.0,233.23615160349854,93455
554,1072010,6605 Santa Ynez,Atascadero,515000,3,2,1934.0,266.28748707342294,93422
555,1069963,1083 Lana,Paso Robles,353000,3,2,1176.0,300.1700680272109,93446
556,1069964,2614 Captains,Bradley,265000,3,2,1328.0,199.54819277108433,93426
557,1072013,3210 Santa Maria,Santa Maria,59000,2,2,1488.0,39.6505376344086,93455
558,1072015,3170 Christopher,Lompoc,560000,5,3,3021.0,185.36908308507117,93436
559,1072016,3969 Cherry Hill,Santa Maria,249000,2,2,1344.0,185.26785714285714,93455
560,1072019,250 StageCoach,Arroyo Grande,739000,4,2,2388.0,309.46398659966496,93420
561,1072020,1519 Kronborg,Solvang,825000,3,2,2018.0,408.82061446977207,93463
562,1065877,185 7th,Shandon,284999,3,2,1488.0,191.53158602150538,93461
563,1072022,876 Foster,Santa Maria,329000,3,2,1303.0,252.49424405218727,93455
564,1072023,1781 Manhattan,Grover Beach,324000,2,3,1112.0,291.36690647482015,93433
565,1072024,250 Portland,Santa Maria,345000,4,3,1686.0,204.62633451957296,93458
566,1072027,931 Inverness,Paso Robles,439000,3,2,1610.0,272.67080745341616,93446
567,1072028,8210 Shirdon,Paso Robles,200000,1,2,1152.0,173.61111111111111,93446
568,1072029,516 Starlight,Arroyo Grande,619000,3,2,1587.0,390.0441083805923,93420
569,1072030,661 Funston,San Luis Obispo,740000,4,3,1762.0,419.9772985244041,93401
570,1072031,529 Longbranch,Grover Beach,379000,2,2,1149.0,329.852045256745,93433
571,1072032,940 Taft,Pismo Beach,769000,4,3,2950.0,260.6779661016949,93449
572,1072033,729 Bello,Pismo Beach,399000,2,1,841.0,474.435196195006,93449
573,1072034,2906 Gilead,Paso Robles,544000,3,2,2016.0,269.8412698412698,93446
574,1072035,1626 Shepherd,Paso Robles,275000,2,2,1088.0,252.75735294117646,93446
575,1069988,868 Vista Del Arroyo,San Luis Obispo,657000,4,3,1484.0,442.72237196765496,93405
576,1068520,1405 College,Santa Maria,365000,3,3,1938.0,188.33849329205367,93454
577,1072038,936 Salisbury,Santa Maria,239900,2,2,1200.0,199.91666666666666,93454
578,1072039,3425 La Luz,Atascadero,450000,3,2,1650.0,272.72727272727275,93422
579,1072040,3467 Satinwood,Santa Maria,299900,3,2,1245.0,240.8835341365462,93455
580,1072041,780 Panorama,Pismo Beach,499900,2,2,1212.0,412.45874587458746,93449
581,1072042,633 Ramona,Los Osos,299000,2,2,1440.0,207.63888888888889,93402
582,1069995,1142 Tyler,Nipomo,699000,2,2,2025.0,345.18518518518516,93444
583,1072044,2201 Hermosa,Lompoc,234900,2,2,1104.0,212.77173913043478,93436
584,1072045,436 Calle Bonita,Santa Maria,324900,2,2,1284.0,253.0373831775701,93455
585,1072046,1926 Fieldstone,Paso Robles,459000,3,2,1779.0,258.01011804384484,93446
586,1072048,123 15th,Paso Robles,450000,3,2,1680.0,267.85714285714283,93446
587,1072968,6499 Serra,Atascadero,369000,3,3,1272.0,290.0943396226415,93422
588,1072050,541 Cameo,Arroyo Grande,669000,3,2,1719.0,389.1797556719023,93420
589,1072051,7605 Castano,Atascadero,449900,3,2,1356.0,331.7846607669617,93422
590,1062046,215 Princessa,Pismo Beach,960000,3,2,2216.0,433.2129963898917,93449
592,1070008,1831 Nathan,Nipomo,759000,3,3,2812.0,269.91465149359885,93444
593,1072057,1750 Ridge,Templeton,999000,3,4,3971.0,251.57391085368926,93465
594,1072058,425 Jensen,Paso Robles,1150000,5,4,3350.0,343.2835820895522,93446
595,1070013,5224 Barrenda,Atascadero,475000,4,3,2073.0,229.1365171249397,93422
596,1072062,4650 Davenport Creek,San Luis Obispo,999000,3,2,1233.0,810.2189781021898,93401
597,1067968,448 Stanley,Santa Barbara,1329000,3,2,1433.0,927.4249825540824,93105
598,1070240,310 Sandpiper,Oceano,999000,5,3,2548.0,392.0722135007849,93445
599,1072066,830 Union,Santa Maria,495000,2,1,908.0,545.1541850220265,93455
600,1072067,5995 Rocky Canyon,Atascadero,949000,3,3,2316.0,409.75820379965455,93422
601,1068352,13898 Diamond Springs,Santa Margarita,199900,3,2,1300.0,153.76923076923077,93453
602,1072071,1462 13th,Los Osos,485000,3,2,1225.0,395.9183673469388,93402
603,1072072,547 Dana,San Luis Obispo,899000,3,2,1280.0,702.34375,93401
604,1072077,1370 Grand,Grover Beach,99000,2,2,960.0,103.125,93433
605,1072078,7557 Town Creek,Paso Robles,1093000,5,4,4745.0,230.3477344573235,93446
606,1072973,1050 Semillon,Templeton,835000,4,3,2825.0,295.57522123893807,93465
607,1072080,2231 Hill Haven,Solvang,1295000,3,3,2945.0,439.7283531409168,93463
608,1072081,2200 Tully,Cambria,559000,4,3,2104.0,265.68441064638785,93428
609,1071530,2520 Santa Ynez,Los Olivos,2475000,3,3,2220.0,1114.8648648648648,93441
610,1072083,439 Oak Park,Arroyo Grande,489000,3,3,1360.0,359.55882352941177,93420
611,1072084,1105 G,Lompoc,389900,4,2,1700.0,229.35294117647058,93436
612,1072085,1725 15th,Oceano,420000,3,2,1396.0,300.8595988538682,93445
613,1067991,4670 Dry Creek,Paso Robles,435000,3,3,1801.0,241.53248195446974,93446
614,1070040,749 Asilo,Arroyo Grande,775000,3,2,2145.0,361.3053613053613,93420
615,1072089,819 Peterson Ranch,Templeton,619000,4,3,2103.0,294.34141702330004,93465
616,1072091,1709 Odin,Solvang,842650,4,3,2583.0,326.2291908633372,93463
617,1072092,6232 Merlot,Paso Robles,439900,4,2,1516.0,290.1715039577836,93446
618,1072093,4227 Constellation,Lompoc,375500,3,2,2059.0,182.37008256435163,93436
619,1072096,4524 Kapalua,Santa Maria,869900,4,3,2950.0,294.8813559322034,93455
620,1072097,1762 Viborg,Solvang,925000,3,3,2347.0,394.12015338730293,93463
621,1069607,7935 Portola,Atascadero,377900,2,2,1004.0,376.39442231075697,93422
622,1072099,551 Stoneridge,San Luis Obispo,779000,3,3,2355.0,330.7855626326964,93401
623,1072101,529 Zanzibar,Morro Bay,670000,2,2,960.0,697.9166666666666,93442
624,1072102,2250 King,San Luis Obispo,443900,2,2,1256.0,353.42356687898086,93401
625,1072103,22 Via Santa Barbara,Paso Robles,235000,2,2,1760.0,133.52272727272728,93446
626,1072104,1123 Via Asueto,Santa Maria,59900,2,2,1440.0,41.59722222222222,93454
627,1072105,260 Prescott,Santa Maria,299900,2,1,768.0,390.4947916666667,93455
628,1072107,3456 Via Cortez,Lompoc,284900,3,2,1222.0,233.14238952536826,93436
629,1072108,1655 Trilogy,Nipomo,860000,2,4,2007.0,428.5002491280518,93444
630,1072109,529 College,Santa Maria,335000,4,2,1368.0,244.8830409356725,93454
631,1070062,1411 San Diego,Grover Beach,649000,3,3,1852.0,350.4319654427646,93433
632,1072111,240 3rd,Solvang,445000,1,1,914.0,486.87089715536104,93463
633,1072112,1385 Diablo,San Luis Obispo,590000,2,2,1513.0,389.95373430270985,93405
634,1070065,553 Sweet Rain,Goleta,680000,3,3,1779.0,382.2372119168072,93117
635,1070931,1070 Bodega,Grover Beach,619000,3,2,1827.0,338.8067870826492,93433
636,1072116,2931 Lorencita,Santa Maria,790000,3,3,3554.0,222.28474957794035,93455
637,1072117,6075 Nacimiento Shores,Bradley,450000,3,2,1300.0,346.15384615384613,93426
